"Name","Title","Description","Version","m.Date","m.Time","Author","Citation"
"build_package","Check and Build Package","Central function to run the package build process.","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. build_package(): Check and Build Package. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"helpers","RLumBuild Helper Functions","Helper functions which are used internally to visualise the console output. Those functions are not in the overivew, but are, however, documented",NA,NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. helpers(): RLumBuild Helper Functions. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_add_HowToCite","Add How to Cite Section","Adds a function tailored section 'How to Cite' to each manual page as long as author names and a section 'Function version' exists.",NA,NA,NA,"Christoph Burow (Germany), Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (Frange)<br /> , RLum Developer Team","Burow, C., Kreutzer, S., 2020. module_add_HowToCite(): Add How to Cite Section. Function version 0.3.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_add_RLumTeam","Module: add RLum-Team and update version timestamp","If the package was supported by the RLumTeam (the standard) the RLum-Team is added as author to all functions.","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. module_add_RLumTeam(): Module: add RLum-Team and update version timestamp. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_build_documentation","Module: Build Documentation","Create documentation using roxygen2","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. module_build_documentation(): Module: Build Documentation. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_check_ReverseDependencies","Check Reverse Dependencies","Check the reverse dependencies of the package","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. module_check_ReverseDependencies(): Check Reverse Dependencies. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_compactVignette","Module: compact_Vignette","Try to further downsize the vignette, so far available","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. module_compactVignette(): Module: compact_Vignette. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_compile_Attributes","Module: Compile attributes","Compile C++ attributes if such code is part of the package","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. module_compile_Attributes(): Module: Compile attributes. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_create_DependencyGraph","Create Dependency Graph","Create package dependency graph","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. module_create_DependencyGraph(): Create Dependency Graph. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
"module_knit_NEWS","Module: Knit NEWS","Create NEWS.md from NEWS.Rmd","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br /> , RLum Developer Team","Kreutzer, S., 2020. module_knit_NEWS(): Module: Knit NEWS. Function version 0.1.0. In: Kreutzer, S., Burow, C., 2020. RLumBuild: RLum Universe Package Building. R package version 0.1.5.9000-6. https://github.com/R-Lum/RLumBuild
"
